QID,PageTitle,description,occupation_labels,cluster,topClusterWords,umap_x,umap_y
Q52150739,Anne Haney Cross,neurologist and neuroimmunologist,['researcher'],8,"['neuroscientist', 'neurologist', 'researcher', 'neurobiologist', 'cognitive']",20.29672,6.725273
Q136549357,Robin Kanarek,physiological psychologist,['physiological psychologist'],1,"['psychologist', 'developmental', 'clinical', 'social', 'academic']",25.525867,0.6039663
Q16002140,Anastasia Ailamaki,Greek/Swiss computer scientist,"['computer scientist', 'engineer']",44,"['computer', 'scientist', 'american', 'programmer', 'researcher']",5.8701353,10.0363865
Q8248851,Lei Jieqiong,"Chinese sociologist, activist, and politician (1905-2011)","['sociologist', 'politician']",59,"['writer', 'author', 'librarian', 'activist', 'naturalist']",-0.7993668,8.832892
Q21480835,Mirta González Suárez,Costa Rican writer and psychologist,"['writer', 'psychologist']",47,"['psychologist', 'psychiatrist', 'psychoanalyst', 'born', 'german']",16.55561,3.9774098
Q56181,Rebecca W. Keller,author and scientist,"['scientist', 'writer']",15,"['scientist', 'science', 'australian', 'materials', 'indian']",5.881413,2.3373153
Q43380149,Helen Walker McAndrew,Scottish physician,['physician'],16,"['irish', 'scottish', 'scientist', 'physician', 'surgeon']",8.502948,2.8949356
Q63246941,María Dolores García Cotarelo,Spanish politician,['biologist'],36,"['spanish', 'scientist', 'mexican', 'researcher', 'argentine']",2.6181173,6.395162
Q7145717,Patricia Mather,Australian zoologist (1925–2012),"['zoologist', 'biologist', 'marine biologist', 'curator', 'taxonomist', 'scientific collector']",4,"['zoologist', 'herpetologist', 'biologist', 'australian', 'scientist']",8.763212,13.693781
Q57656483,Santosh Kurinec,electrical engineer,['engineer'],31,"['engineer', 'electrical', 'chemical', 'mechanical', 'biomedical']",4.957319,5.52781
Q42791351,Belinda Medlyn,academic and ecosystem modeller,['researcher'],37,"['ecologist', 'environmental', 'scientist', 'australian', 'researcher']",3.3615,0.7743481
Q79052300,Cynthia D. Belar,,['psychologist'],32,[],-10.785432,7.6142626
Q100251324,Danièle Aron-Rosa,French ophthalmologist and painter,"['ophthalmologist', 'painter', 'inventor', 'physician-scientist']",11,"['french', 'mathematician', 'physicist', 'biologist', 'historian']",0.84494233,-5.0615253
Q58206860,Jenni L. Evans,Meteorologist and atmospheric scientist,['meteorologist'],15,"['scientist', 'science', 'australian', 'materials', 'indian']",1.9506859,4.571729
Q88944602,Courtney Fitzhugh,hematologist and scientist,"['physician-scientist', 'hematologist']",42,"['researcher', 'scientist', 'medical', 'health', 'academic']",12.6231785,3.9464538
Q57558556,Roxane Cohen Silver,researcher ORCID ID = 0000-0002-4013-6792,['researcher'],54,"['0000', 'orcid', 'researcher', 'id', '0002']",-3.0894992,-4.8693223
Q64366067,Johanna Brewer,developer,"['academic', 'university teacher']",0,"['engineer', 'australian', 'activist', 'entrepreneur', 'researcher']",5.1507554,11.993171
Q527720,Joan Bresnan,linguist,"['linguist', 'university teacher', 'academic']",50,"['linguist', 'professor', 'linguistics', 'language', 'australian']",16.06671,14.674325
Q28858772,Nan Bernstein Ratner,Neuroscience researcher; Specialist in child language disorders,"['speech and language therapist', 'linguist', 'university teacher']",8,"['neuroscientist', 'neurologist', 'researcher', 'neurobiologist', 'cognitive']",20.135544,7.172705
Q70139675,Marion Stirling Pugh,archaeologist,['archaeologist'],24,"['archaeologist', 'australian', 'academic', 'anthropologist', 'curator']",12.249248,-4.0013103
Q53113058,Gretta Pecl,Australian marine ecologist and researcher,['marine ecologist'],56,"['marine', 'biologist', 'ecologist', 'scientist', 'australian']",3.598422,1.6391435
Q2368918,Clémence Royer,French philosopher and scholar (1830–1902),"['anthropologist', 'linguist', 'translator', 'philosopher', 'economist']",11,"['french', 'mathematician', 'physicist', 'biologist', 'historian']",6.509948,4.0442777
Q24702106,Doris Abele,German marine biologist,"['marine biologist', 'researcher']",56,"['marine', 'biologist', 'ecologist', 'scientist', 'australian']",10.167968,9.266323
Q7382967,Ruth Ella Moore,bacteriologist (1903–1994),"['biologist', 'bacteriologist', 'university teacher']",21,"['microbiologist', 'immunologist', 'researcher', 'bacteriologist', 'australian']",7.3826537,-6.0984254
Q84208408,Moriel Zelikowsky,neuroscientist,['neuroscientist'],8,"['neuroscientist', 'neurologist', 'researcher', 'neurobiologist', 'cognitive']",21.80497,8.222476
Q50318893,Marianne Kärrholm,Swedish chemical engineer and academic,"['academic', 'chemical engineer']",31,"['engineer', 'electrical', 'chemical', 'mechanical', 'biomedical']",-0.9170499,-0.8352129
Q18738721,Leonore Davidoff,historian and sociologist (1932-2014),"['sociologist', 'historian', 'academic', 'essayist', ""women's rights activist"", 'art historian']",59,"['writer', 'author', 'librarian', 'activist', 'naturalist']",-0.53508013,8.74794
Q6502594,Laverne Antrobus,psychologist/author/television presenter,['psychologist'],47,"['psychologist', 'psychiatrist', 'psychoanalyst', 'born', 'german']",16.55893,3.9586802
Q26896948,Janet Kelso,South African bioinformatician,"['bioinformatician', 'biologist']",55,"['african', 'south', 'scientist', 'ugandan', 'kenyan']",7.638039,4.9765096
Q2781828,Nabia Abbott,scholar of Islam (1897–1981),['university teacher'],59,"['writer', 'author', 'librarian', 'activist', 'naturalist']",5.794429,4.4076924
Q86453943,Caroline Tolbert,political scientist,"['political scientist', 'writer', 'academic']",23,"['scientist', 'political', 'politician', 'social', 'australian']",17.727076,10.435677
Q16115403,Rhonda Hughes,mathematician & academic,"['mathematician', 'university teacher']",28,"['mathematician', 'american', 'mathematics', 'applied', 'canadian']",4.3482122,10.985079
Q55861216,Uraina Clark,neuroscientist,['researcher'],8,"['neuroscientist', 'neurologist', 'researcher', 'neurobiologist', 'cognitive']",21.813402,8.22332
Q66725870,Adele Cutler,Statistician,['statistician'],22,"['economist', 'statistician', 'sociologist', 'born', 'academic']",13.50778,-2.2607934
Q18715710,Eloise Blaine Cram,zoologist (1896-1957),"['zoologist', 'parasitologist', 'scientific collector']",4,"['zoologist', 'herpetologist', 'biologist', 'australian', 'scientist']",8.8528805,13.914107
Q4794169,Norma Restieaux,New Zealand medical doctor and cardiologist,"['cardiologist', 'physician']",6,"['new', 'zealand', 'academic', 'researcher', 'scientist']",10.702009,2.2670302
Q2918786,Mary Barkworth,botanist (1941- ),"['botanist', 'botanical collector', 'astrologer', 'scientific collector']",10,"['botanist', 'botanical', 'collector', 'plant', 'australian']",5.3034434,-0.02517451
Q87663606,Ingeborg Brun,"Danish amateur astronomer, socialist (1872–1929)","['writer', 'astronomer', 'socialist']",39,"['astronomer', 'french', 'german', 'canadian', 'american']",-1.1192733,4.4629292
Q77359132,Elizabeth G. Loboa,engineer and academic administrator,"['biomedical engineer', 'researcher']",31,"['engineer', 'electrical', 'chemical', 'mechanical', 'biomedical']",4.853983,6.160507
Q70138123,Ada Poon,Hong Kong-American electrical engineer,"['engineer', 'electrical engineer', 'academic', 'university teacher']",31,"['engineer', 'electrical', 'chemical', 'mechanical', 'biomedical']",4.9354024,5.51874
Q12530219,Gulsum Asfendiyarova,Kazakh medical practitioner,"['community leader', 'physician']",52,"['physician', 'australian', 'american', 'medical', 'doctor']",9.528731,6.2950177
Q29549,Helen Porter,botanist (1899-1987),"['botanist', 'university teacher', 'biochemist', 'science writer', 'biologist']",10,"['botanist', 'botanical', 'collector', 'plant', 'australian']",5.3321915,-0.042742107
Q11015464,Aleksandra Kornhauser Frazer,Slovene chemist,['chemist'],13,"['chemist', 'german', 'swedish', 'american', 'polish']",8.712474,6.9148784
Q6376671,Kathleen Carley,social scientist,['sociologist'],23,"['scientist', 'political', 'politician', 'social', 'australian']",7.452085,3.0463998
Q83751661,Denise Walsh,political scientist,['political scientist'],23,"['scientist', 'political', 'politician', 'social', 'australian']",17.7066,10.401568
Q102198390,Helen Infeld,mathematician (1907–1993),"['mathematician', 'university teacher']",28,"['mathematician', 'american', 'mathematics', 'applied', 'canadian']",10.291851,-0.6774646
Q57915881,Malgorzata Dubiel,Polish mathematician and mathematics educator,['mathematician'],28,"['mathematician', 'american', 'mathematics', 'applied', 'canadian']",13.238099,-0.19358759
Q105940579,Annette S. Lee,"astrophysicist, educator, and artist","['astrophysicist', 'professor', 'painter']",27,"['astrophysicist', 'italian', 'australian', 'astronomer', 'french']",-1.983494,5.005689
Q51781,Katia Sycara,Greek-American computer scientist,"['roboticist', 'mathematician', 'engineer', 'computer scientist', 'artificial intelligence researcher', 'university teacher']",44,"['computer', 'scientist', 'american', 'programmer', 'researcher']",5.8884306,10.008284
