QID,PageTitle,description,occupation_labels,cluster,topClusterWords,umap_x,umap_y
Q11117673,Yang Dan (chemist),Hong Kong chemist,"['biologist', 'chemist']",46,"['chemist', 'german', 'british', 'american', 'professor']",6.58566,-3.5292926
Q40082969,Uché Blackstock,American physician and researcher,['researcher'],23,"['american', 'physician', 'medical', 'doctor', 'scientist']",5.753448,5.489165
Q36327506,Josephine Ball,psychologist,['psychologist'],73,"['american', 'psychologist', 'clinical', 'psychiatrist', 'cognitive']",-1.952044,7.3098145
Q29653573,Lucilla Poston,British physiologist,"['physiologist', 'researcher']",90,"['british', 'scientist', 'biologist', 'academic', 'anthropologist']",6.3850255,4.4656124
Q58202734,Anne-Marie Caminade,French chemist,"['researcher', 'chemist']",46,"['chemist', 'german', 'british', 'american', 'professor']",10.648442,3.981228
Q37625061,Nita Forouhi,British physician and academic,"['epidemiologist', 'nutritionist']",80,"['physician', 'british', 'doctor', 'medical', 'surgeon']",7.066872,4.5659533
Q94245218,Elsie Jury,Canadian archaeologist,['archaeologist'],24,"['archaeologist', 'american', 'anthropologist', 'chinese', 'classical']",13.493344,6.5151877
Q7415,Mária Telkes,Hungarian–American scientist and inventor,"['chemist', 'biophysicist', 'inventor']",83,"['polish', 'scientist', 'politician', 'physician', 'romanian']",9.929471,7.1701884
Q19864030,Alice H. Lichtenstein,American nutrition scientist,['food scientist'],17,"['american', 'nutritionist', 'scientist', 'nutritional', 'nutrition']",4.5778804,7.692292
Q11645,Cathy Hudgins,Member of the Fairfax County Board of Supervisors,['politician'],65,"['american', 'women', 'director', 'activist', 'organization']",6.68307,2.542441
Q56437773,Mari-Jo P. Ruiz,Filipina mathematician,['mathematician'],2,"['mathematician', 'american', 'russian', 'polish', 'born']",11.379259,1.7060696
Q66717478,Karen Marrongelle,American mathematician,['mathematician'],20,"['mathematician', 'american', 'british', 'mathematics', 'canadian']",9.070829,-9.517258
Q49066,Misha Mahowald,American computational neuroscientist,['neuroscientist'],1,"['neuroscientist', 'american', 'cognitive', 'researcher', 'canadian']",1.6883093,-2.4221342
Q30122232,Suzanne Weekes,African-American mathematician,['mathematician'],20,"['mathematician', 'american', 'british', 'mathematics', 'canadian']",11.372889,-5.983045
